"date","sex","fork_length","adipose_fin_clipped","carcass_condition","spawn_condition","count"
"2020-10-28","female",832,FALSE,"non fresh","spawned",1
"2020-10-20","male",907,FALSE,"fresh","unspawned",1
"2013-11-26","male",770,FALSE,"fresh",NA,1
"2011-10-27","male",555,FALSE,"non fresh",NA,1
"2011-10-27","male",577,FALSE,"non fresh",NA,1
"2013-10-29","male",655,FALSE,"fresh",NA,1
"2013-11-13","male",880,FALSE,"non fresh",NA,2
"2013-11-13","male",580,FALSE,"fresh",NA,1
"2011-11-03","male",590,FALSE,"non fresh",NA,1
"2013-11-13","male",750,FALSE,"non fresh",NA,1
"2013-10-01","male",765,TRUE,"non fresh",NA,1
"2013-11-13","male",810,FALSE,"non fresh",NA,1
"2011-10-20","male",820,FALSE,"non fresh",NA,1
"2013-10-22","male",820,FALSE,"fresh",NA,1
"2013-11-05","male",830,FALSE,"fresh",NA,1
"2013-11-13","male",830,FALSE,"non fresh",NA,1
"2013-11-26","male",840,FALSE,"fresh",NA,1
"2011-11-17","male",845,FALSE,"non fresh",NA,1
"2013-11-13","male",930,FALSE,"fresh",NA,1
"2013-10-22","male",935,FALSE,"non fresh",NA,1
"2013-10-22","male",940,FALSE,"fresh",NA,1
"2014-11-11","male",550,FALSE,"non fresh",NA,1
"2015-10-28","male",555,FALSE,"fresh",NA,1
"2013-11-05","male",590,FALSE,"non fresh",NA,1
"2011-10-27","male",620,FALSE,"fresh",NA,1
"2020-12-08","female",644,FALSE,"non fresh","spawned",1
"2014-11-11","male",650,FALSE,"fresh",NA,1
"2011-11-10","male",655,FALSE,"non fresh",NA,1
"2013-10-29","male",710,FALSE,"non fresh",NA,1
"2013-11-05","male",710,FALSE,"non fresh",NA,1
"2013-10-29","female",745,FALSE,"non fresh","unspawned",1
"2020-11-09","female",790,TRUE,"fresh","unspawned",1
"2013-11-05","male",860,TRUE,"non fresh",NA,1
"2013-10-22","male",865,TRUE,"non fresh",NA,1
"2013-12-04","male",880,TRUE,"non fresh",NA,1
"2013-10-29","male",910,FALSE,"non fresh",NA,1
"2013-11-13","male",940,FALSE,"fresh",NA,1
"2014-11-19","male",945,FALSE,"fresh",NA,1
"2014-11-11","male",1000,FALSE,"fresh",NA,1
"2011-10-20","male",1100,FALSE,"non fresh",NA,1
"2011-10-20","male",558,TRUE,"fresh",NA,1
"2021-12-01","male",595,TRUE,"non fresh","spawned",1
"2013-11-19","male",610,FALSE,"non fresh",NA,1
"2011-11-23","male",635,TRUE,"fresh",NA,1
"2019-11-04","male",640,FALSE,"fresh",NA,1
"2013-11-05","male",720,FALSE,"non fresh",NA,1
"2013-10-15","male",755,TRUE,"non fresh",NA,1
"2013-10-29","male",760,FALSE,"fresh",NA,1
"2013-10-01","male",780,TRUE,"non fresh",NA,1
"2013-11-13","male",805,FALSE,"fresh",NA,1
"2013-10-15","female",810,TRUE,"non fresh","spawned",1
"2013-11-26","male",815,FALSE,"fresh",NA,1
"2013-10-08","male",820,TRUE,"fresh",NA,1
"2020-10-28","male",836,FALSE,"non fresh","unspawned",1
"2013-10-22","male",840,TRUE,"non fresh",NA,1
"2013-12-11","male",845,FALSE,"fresh",NA,1
"2020-10-20","male",895,TRUE,"fresh","unspawned",1
"2014-10-14","male",910,FALSE,"non fresh",NA,1
"2013-11-26","male",920,FALSE,"fresh",NA,1
"2016-11-15","male",610,FALSE,"fresh",NA,1
"2011-10-27","male",620,FALSE,"fresh",NA,1
"2013-10-22","male",635,FALSE,"non fresh",NA,1
"2011-11-03","male",640,FALSE,"non fresh",NA,1
"2011-11-10","male",660,FALSE,"non fresh",NA,1
"2019-12-17","female",690,FALSE,"non fresh","spawned",1
"2013-11-19","male",690,FALSE,"fresh",NA,1
"2013-11-19","male",710,FALSE,"fresh",NA,1
"2011-11-17","female",725,FALSE,"fresh","spawned",1
"2013-10-15","male",775,FALSE,"fresh",NA,1
"2013-11-19","male",775,FALSE,"fresh",NA,1
"2019-11-19","male",780,FALSE,"fresh",NA,1
"2011-10-13","male",790,FALSE,"non fresh",NA,1
"2011-10-13","male",815,TRUE,"non fresh",NA,1
"2011-10-13","male",820,TRUE,"fresh",NA,1
"2013-10-22","male",845,FALSE,"non fresh",NA,1
"2013-11-05","male",890,FALSE,"non fresh",NA,1
"2014-11-11","female",910,FALSE,"fresh","spawned",1
"2014-10-06","male",1010,TRUE,"fresh",NA,1
"2011-10-20","male",650,TRUE,"non fresh",NA,1
"2013-11-05","male",830,FALSE,"non fresh",NA,2
"2020-12-08","male",595,TRUE,"fresh","unspawned",1
"2019-12-31","female",634,FALSE,"fresh","spawned",1
"2011-12-01","male",650,FALSE,"non fresh",NA,1
"2014-11-11","male",650,TRUE,"non fresh",NA,1
"2015-12-30","female",680,TRUE,"non fresh","spawned",1
"2013-11-19","female",720,FALSE,"fresh","spawned",1
"2013-10-22","female",770,FALSE,"fresh","unspawned",1
"2014-11-24","female",795,FALSE,"non fresh","spawned",1
"2014-10-28","female",820,FALSE,"non fresh","unspawned",1
"2013-10-15","male",835,TRUE,"fresh",NA,1
"2011-10-20","male",530,FALSE,"non fresh",NA,1
"2011-11-17","male",615,FALSE,"non fresh",NA,1
"2011-10-20","male",630,FALSE,"non fresh",NA,1
"2013-11-13","male",630,FALSE,"non fresh",NA,1
"2011-11-17","male",645,FALSE,"fresh",NA,1
"2011-11-10","male",655,FALSE,"fresh",NA,1
"2011-11-10","male",660,FALSE,"fresh",NA,1
"2019-11-26","male",739,FALSE,"non fresh",NA,1
"2015-11-04","male",790,TRUE,"non fresh",NA,1
"2013-10-15","male",820,FALSE,"fresh",NA,1
"2013-11-19","male",850,FALSE,"fresh",NA,1
"2013-11-13","male",860,FALSE,"non fresh",NA,1
"2013-11-05","male",875,FALSE,"non fresh",NA,1
"2014-11-04","male",875,FALSE,"non fresh",NA,1
"2013-12-27","female",900,FALSE,"fresh","spawned",1
"2013-10-22","male",1020,FALSE,"fresh",NA,1
"2011-10-20","male",553,FALSE,"non fresh",NA,1
"2011-11-03","female",565,FALSE,"non fresh","spawned",1
"2011-10-06","male",580,FALSE,"fresh",NA,1
"2014-11-11","male",580,FALSE,"fresh",NA,1
"2013-11-13","male",590,FALSE,"non fresh",NA,1
"2014-11-11","male",595,TRUE,"non fresh",NA,1
"2011-10-27","male",600,FALSE,"fresh",NA,1
"2011-10-27","male",600,TRUE,"non fresh",NA,1
"2014-11-11","male",610,TRUE,"non fresh",NA,1
"2013-11-13","male",620,TRUE,"non fresh",NA,1
"2011-12-01","female",640,FALSE,"non fresh","spawned",1
"2011-12-08","male",640,FALSE,"non fresh",NA,1
"2011-10-27","male",645,FALSE,"fresh",NA,1
"2015-12-08","male",650,FALSE,"non fresh",NA,1
"2011-11-17","male",660,TRUE,"non fresh",NA,1
"2011-11-03","male",665,FALSE,"non fresh",NA,1
"2011-10-27","male",670,FALSE,"non fresh",NA,1
"2011-12-01","male",670,TRUE,"fresh",NA,1
"2011-11-17","male",690,FALSE,"fresh",NA,1
"2014-12-01","male",715,TRUE,"non fresh",NA,1
"2013-11-13","male",725,FALSE,"non fresh",NA,1
"2011-11-17","female",750,FALSE,"non fresh","spawned",1
"2013-11-13","male",755,FALSE,"non fresh",NA,1
"2011-11-17","female",760,FALSE,"fresh","spawned",1
