"date","sex","fork_length","adipose_fin_clipped","carcass_condition","spawn_condition","count"
"2020-10-28T00:00:00Z","female",832,FALSE,"non fresh","spawned",1
"2020-10-20T00:00:00Z","male",907,FALSE,"fresh","unspawned",1
"2013-11-26T00:00:00Z","male",770,FALSE,"fresh",NA,1
"2011-10-27T00:00:00Z","male",555,FALSE,"non fresh",NA,1
"2011-10-27T00:00:00Z","male",577,FALSE,"non fresh",NA,1
"2013-10-29T00:00:00Z","male",655,FALSE,"fresh",NA,1
"2013-11-13T00:00:00Z","male",880,FALSE,"non fresh",NA,2
"2013-11-13T00:00:00Z","male",580,FALSE,"fresh",NA,1
"2011-11-03T00:00:00Z","male",590,FALSE,"non fresh",NA,1
"2013-11-13T00:00:00Z","male",750,FALSE,"non fresh",NA,1
"2013-10-01T00:00:00Z","male",765,TRUE,"non fresh",NA,1
"2013-11-13T00:00:00Z","male",810,FALSE,"non fresh",NA,1
"2011-10-20T00:00:00Z","male",820,FALSE,"non fresh",NA,1
"2013-10-22T00:00:00Z","male",820,FALSE,"fresh",NA,1
"2013-11-05T00:00:00Z","male",830,FALSE,"fresh",NA,1
"2013-11-13T00:00:00Z","male",830,FALSE,"non fresh",NA,1
"2013-11-26T00:00:00Z","male",840,FALSE,"fresh",NA,1
"2011-11-17T00:00:00Z","male",845,FALSE,"non fresh",NA,1
"2013-11-13T00:00:00Z","male",930,FALSE,"fresh",NA,1
"2013-10-22T00:00:00Z","male",935,FALSE,"non fresh",NA,1
"2013-10-22T00:00:00Z","male",940,FALSE,"fresh",NA,1
"2014-11-11T00:00:00Z","male",550,FALSE,"non fresh",NA,1
"2015-10-28T00:00:00Z","male",555,FALSE,"fresh",NA,1
"2013-11-05T00:00:00Z","male",590,FALSE,"non fresh",NA,1
"2011-10-27T00:00:00Z","male",620,FALSE,"fresh",NA,1
"2020-12-08T00:00:00Z","female",644,FALSE,"non fresh","spawned",1
"2014-11-11T00:00:00Z","male",650,FALSE,"fresh",NA,1
"2011-11-10T00:00:00Z","male",655,FALSE,"non fresh",NA,1
"2013-10-29T00:00:00Z","male",710,FALSE,"non fresh",NA,1
"2013-11-05T00:00:00Z","male",710,FALSE,"non fresh",NA,1
"2013-10-29T00:00:00Z","female",745,FALSE,"non fresh","unspawned",1
"2020-11-09T00:00:00Z","female",790,TRUE,"fresh","unspawned",1
"2013-11-05T00:00:00Z","male",860,TRUE,"non fresh",NA,1
"2013-10-22T00:00:00Z","male",865,TRUE,"non fresh",NA,1
"2013-12-04T00:00:00Z","male",880,TRUE,"non fresh",NA,1
"2013-10-29T00:00:00Z","male",910,FALSE,"non fresh",NA,1
