"date","latitude","longitude","redd_id","velocity","redd_count","run","species","depth_m","num_of_fish_on_redd"
2011-09-19,39.218806146,-121.301818621,"20110919 001",0.733333333333333,1,"not recorded","chinook",0.88,0
2011-09-19,39.218769561,-121.302020725,"20110919 002",0.925,1,"not recorded","chinook",1.12,0
2011-09-19,39.218765435,-121.302090816,"20110919 003",0.935,1,"not recorded","chinook",1.05,0
2011-09-19,39.219237503,-121.304065161,"20110919 004",0.49,1,"not recorded","chinook",0.67,0
2011-09-19,39.219316199,-121.30430252,"20110919 005",0.47,1,"not recorded","chinook",0.64,0
2011-09-19,39.219341126,-121.304762422,"20110919 006",0.75,1,"not recorded","chinook",0.74,0
2011-09-19,39.21931536,-121.304754334,"20110919 007",0.97,1,"not recorded","chinook",0.75,0
2011-09-19,39.218015668,-121.359567561,"20110919 008",0.82,1,"not recorded","chinook",0.48,0
2011-09-23,39.202467305,-121.451273327,"20110923 001",1.08,1,"not recorded","chinook",0.3,0
2011-09-23,39.202478889,-121.451240001,"20110923 002",1.07,1,"not recorded","chinook",0.35,0
2011-09-26,39.234773278,-121.273905024,"20110926 001",0.36,1,"not recorded","chinook",0.74,2
2011-09-26,39.234780698,-121.273920706,"20110926 002",0.35,1,"not recorded","chinook",1.06,1
2011-09-26,39.234760646,-121.273990143,"20110926 003",0.37,1,"not recorded","chinook",0.99,0
2011-09-26,39.234698051,-121.273982737,"20110926 004",0.45,1,"not recorded","chinook",0.54,0
2011-09-26,39.233089236,-121.27506779,"20110926 005",0.63,1,"not recorded","chinook",0.78,0
2011-09-26,39.233032315,-121.275154547,"20110926 006",0.45,1,"not recorded","chinook",0.8,0
2011-09-26,39.233011848,-121.275123524,"20110926 007",0.445,1,"not recorded","chinook",0.85,0
2011-09-26,39.230455004,-121.278556614,"20110926 008",0.74,1,"not recorded","chinook",0.68,0
2011-10-03,39.234846838,-121.273808429,"20111003 001",0.315,1,"not recorded","chinook",0.91,0
2011-10-03,39.234804246,-121.27386027,"20111003 002",0.29,1,"not recorded","chinook",0.78,0
2011-10-03,39.234764829,-121.273860792,"20111003 003",0.31,1,"not recorded","chinook",0.68,1
2011-10-03,39.234772793,-121.273888323,"20111003 004",0.27,1,"not recorded","chinook",0.45,0
2011-10-03,39.234725956,-121.273940945,"20111003 005",0.45,1,"not recorded","chinook",0.41,0
2011-10-03,39.234705215,-121.273970481,"20111003 006",0.35,1,"not recorded","chinook",0.45,0
2011-10-03,39.233023709,-121.27505113,"20111003 007",0.595,1,"not recorded","chinook",1.16,0
2011-10-03,39.230496294,-121.278475389,"20111003 008",0.39,1,"not recorded","chinook",0.52,0
2011-10-03,39.230504258,-121.280905677,"20111003 009",0.32,1,"not recorded","chinook",0.21,0
